calendar_year,state,state_fips,county_eq,state_year_snap,higher_than_state_snap_counties,prop_counties_higher_snap_than_state,usa_snap,higher_than_usa_snap_counties,prop_counties_higher_snap_than_usa
2009,KY,21,108,0.13234368599745155,64,0.5925925925925926,0.0848498240789541,100,0.9259259259259259
2010,KY,21,85,0.13981325311264692,55,0.6470588235294118,0.0926478550596259,80,0.9411764705882353
2011,KY,21,81,0.1485867758025323,45,0.5555555555555556,0.102470902248552,73,0.9012345679012346
2012,KY,21,23,0.16011848324423247,17,0.7391304347826086,0.114389272037594,21,0.9130434782608695
2014,KY,21,4,0.17281515184448681,4,1.0,0.129844386971254,4,1.0
2015,KY,21,84,0.1732245672956203,58,0.6904761904761905,0.131703905293167,75,0.8928571428571429
2016,KY,21,20,0.16893675245908985,11,0.55,0.130491352692492,15,0.75
2018,KY,21,55,0.16072586247487697,37,0.6727272727272727,0.12648332849867,46,0.8363636363636363
